Issue key,Issue id,Parent id,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
NCIS-1,235639,,,,,,,,
NCIS-2,238558,,NCIS Sprint 1,,,,,,
NCIS-3,238560,,NCIS Sprint 1,,,,,,
NCIS-4,238669,,,,,,,,
NCIS-5,239070,,,,,,,,
NCIS-6,239071,,,,,,,,
NCIS-7,239072,,,,,,,,
NCIS-8,239073,,,,,,,,
NCIS-9,239074,,,,,,,,
NCIS-10,239075,,,,,,,,
NCIS-11,239076,,,,,,,,
NCIS-12,239077,,,,,,,,
NCIS-13,239078,,,,,,,,
NCIS-14,239079,,,,,,,,
NCIS-15,239080,,,,,,,,
NCIS-16,239081,,,,,,,,
NCIS-17,239082,,,,,,,,
NCIS-18,239083,,,,,,,,
NCIS-19,239084,,,,,,,,
NCIS-20,239085,,,,,,,,
NCIS-21,239086,,,,,,,,
NCIS-22,239087,,,,,,,,
NCIS-23,239088,,,,,,,,
NCIS-24,239089,,,,,,,,
NCIS-25,239090,,,,,,,,
NCIS-26,239091,,,,,,,,
NCIS-27,239092,,,,,,,,
NCIS-28,239093,,,,,,,,
NCIS-29,239094,,,,,,,,
NCIS-30,239095,,,,,,,,
NCIS-31,239096,,,,,,,,
NCIS-32,239097,,,,,,,,
NCIS-33,239098,,,,,,,,
NCIS-34,239099,,,,,,,,
NCIS-35,239100,,,,,,,,
NCIS-36,239101,,,,,,,,
NCIS-37,239102,,,,,,,,
NCIS-38,239103,,,,,,,,
NCIS-39,239104,,,,,,,,
NCIS-40,239105,,,,,,,,
NCIS-41,239106,,,,,,,,
NCIS-42,239107,,,,,,,,
NCIS-43,239108,,,,,,,,
NCIS-44,239109,,,,,,,,
NCIS-45,239110,,,,,,,,
NCIS-46,239111,,,,,,,,
NCIS-47,239112,,,,,,,,
NCIS-48,239113,,,,,,,,
NCIS-49,239114,,,,,,,,
NCIS-50,239115,,,,,,,,
NCIS-51,239116,,,,,,,,
NCIS-52,239117,,,,,,,,
NCIS-53,239118,,,,,,,,
NCIS-54,239119,,,,,,,,
NCIS-55,239120,,,,,,,,
NCIS-56,239121,,,,,,,,
NCIS-57,239122,,,,,,,,
NCIS-58,239123,,,,,,,,
NCIS-59,239124,,,,,,,,
NCIS-60,239125,,,,,,,,
NCIS-61,239126,,,,,,,,
NCIS-62,239127,,,,,,,,
NCIS-63,239128,,,,,,,,
NCIS-64,239129,,,,,,,,
NCIS-65,239130,,,,,,,,
NCIS-66,239131,,,,,,,,
NCIS-67,239132,,,,,,,,
